WASO_interval,WASO_importance,R2_correl
0.25,0.06428333233034135,0.29106909643377543
0.5,0.053928105470112626,0.2838451412044332
0.75,0.05978995698030051,0.2639788646441434
1,0.05556729914030839,0.2691616608676106
2,0.04993635999728318,0.28816817392819316
3,0.0709182899615827,0.2671854749965428
4,0.053388179462461424,0.28163630652882893
5,0.04937746400539194,0.264195634080725
6,0.05002334011826667,0.2853785745486957
7,0.04558156979704505,0.28521261179062346
8,0.046602461417295786,0.23834596200489644
9,0.04040044302682792,0.28736180903499897
10,0.04215017354673901,0.27973600849351904
