WASO_interval ,duration             ,frequency            ,r^2
         0.25 ,0.05151372660723473  ,0.03980551037088439  ,0.27568926027225343
         0.5  ,0.05304035610556142  ,0.038267034598852036 ,0.28995957793874527
         0.75 ,0.065454781055231    ,0.04052027020281489  ,0.29430922450238245
         1    ,0.05053170021013918  ,0.03904168649820181  ,0.27626006500008937
         2    ,0.04735395458108552  ,0.03479622850511669  ,0.2941915190174858
         3    ,0.056116747059331826 ,0.034120872796202066 ,0.29476757523360925
         4    ,0.049131743625959096 ,0.031363296837506875 ,0.2801401343337388
         5    ,0.0491301948404845   ,0.03176922330128937  ,0.27140122665624256
         6    ,0.047580568150067226 ,0.025162960083838084 ,0.28724756387974004
         7    ,0.042149973745057516 ,0.025379757935085144 ,0.2894211240953755
         8    ,0.040895419040547235 ,0.022257144259303276 ,0.285556518746782
         9    ,0.041127672487365485 ,0.022755197135445635 ,0.28793634454782735
        10    ,0.0401703787223024   ,0.01715910364586635  ,0.27201362025230946
