WASO_interval,frequency,r^2
0.25,0.04110985451752689,0.27557048056601113
0.5,0.03808665751875312,0.2908587930874934
0.75,0.03578139354076417,0.2872304005172896
1,0.040908740419293904,0.2997996742273267
2,0.03345015894030423,0.2860980400020792
3,0.0281642714380127,0.29206725735704037
4,0.03473955303108335,0.27100346299370337
5,0.02772029869047834,0.281481397373734
6,0.028959253009185802,0.2905526474552078
7,0.02654758561129864,0.28773032042168617
8,0.020418008864205608,0.2804554593177443
9,0.020124215083488373,0.28494320742332024
10,0.01808802888217263,0.2850811800497646
